[24/01/2018 | 15:55:01] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [ R  1] | [F001]       |  ::  | Exec cmd line: "C:\Program Files (x86)\CyberArk\DCA\UserExits\scan.cmd" "C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd\New Text Document.txt" "New Text Document.txt"
[24/01/2018 | 16:01:43] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [ R  1] | [F001]       |  ::  | RC: (0) - Valid. File Name: New Text Document.txt
[24/01/2018 | 16:03:29] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [ R  1] | [F001]       |  ::  | CFTUE015I Dll user exit [PreNonDuplication] in dll [UserExitDll1] finished successfully.
[24/01/2018 | 16:03:29] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [ R  1] | [F001]       |  ::  | CFTXF010I Transfer file completed successfully. (Transfer time: 0 hours, 11 minutes, 54 seconds, 177 milliseconds, File size (KB): 0.000, Retries number: 0)
[24/01/2018 | 16:03:33] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [*R  1] |              |  ::  | CFTXR010I Transfer rule completed successfully. ([Files succeeded: 1] [Files warned: 0])
[24/01/2018 | 16:03:38] |                                 |         |              |  ::  | CFTPR010I Process [ContentFiltering] completed successfully ([Rules succeeded: 1] [Rules warned: 0])
[24/01/2018 | 16:03:38] |                                 |         |              |  ::  | CFTPR001I New Automap process [ContentFiltering] has started. InstanceID [f4768151-ab13-4f9c-a95d-8f738f6b36fa].
[24/01/2018 | 16:03:38] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [*R  1] |              |  ::  | CFTXR001I New V2FS transfer rule started: [Vault{DCAMainVault}\Safe{ddddddd}\Root\*] ===> [C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd\.]
[24/01/2018 | 16:03:38] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [*R  1] |              |  ::  | CFTXR051I Rule found no files to transfer.
[24/01/2018 | 16:03:38] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [*R  1] |              |  ::  | CFTXR010I Transfer rule completed successfully. ([Files succeeded: 0] [Files warned: 0])
[24/01/2018 | 16:03:43] |                                 |         |              |  ::  | CFTPR010I Process [ContentFiltering] completed successfully ([Rules succeeded: 1] [Rules warned: 0])
[24/01/2018 | 16:03:58] |                                 |         |              |  ::  | CFTPR001I New Automap process [ContentFiltering] has started. InstanceID [c042cf74-830a-40af-a82f-c5b40b12b5f2].
[24/01/2018 | 16:03:58] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [*R  1] |              |  ::  | CFTXR001I New V2FS transfer rule started: [Vault{DCAMainVault}\Safe{ddddddd}\Root\*] ===> [C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd\.]
[24/01/2018 | 16:03:58] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [*R  1] |              |  ::  | CFTXR051I Rule found no files to transfer.
[24/01/2018 | 16:03:58] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [*R  1] |              |  ::  | CFTXR010I Transfer rule completed successfully. ([Files succeeded: 0] [Files warned: 0])
[24/01/2018 | 16:04:03] |                                 |         |              |  ::  | CFTPR010I Process [ContentFiltering] completed successfully ([Rules succeeded: 1] [Rules warned: 0])
[24/01/2018 | 16:04:18] |                                 |         |              |  ::  | CFTPR001I New Automap process [ContentFiltering] has started. InstanceID [448a38bb-ae5a-409d-8b66-8b3c3ce243c3].
[24/01/2018 | 16:04:18] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [*R  1] |              |  ::  | CFTXR001I New V2FS transfer rule started: [Vault{DCAMainVault}\Safe{ddddddd}\Root\*] ===> [C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd\.]
[24/01/2018 | 16:04:18] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [*R  1] |              |  ::  | CFTXR051I Rule found no files to transfer.
[24/01/2018 | 16:04:18] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [*R  1] |              |  ::  | CFTXR010I Transfer rule completed successfully. ([Files succeeded: 0] [Files warned: 0])
[24/01/2018 | 16:04:23] |                                 |         |              |  ::  | CFTPR010I Process [ContentFiltering] completed successfully ([Rules succeeded: 1] [Rules warned: 0])
[24/01/2018 | 16:04:38] |                                 |         |              |  ::  | CFTPR001I New Automap process [ContentFiltering] has started. InstanceID [86f39a91-5e99-44fe-bccb-415625d614d1].
[24/01/2018 | 16:04:38] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [*R  1] |              |  ::  | CFTXR001I New V2FS transfer rule started: [Vault{DCAMainVault}\Safe{ddddddd}\Root\*] ===> [C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd\.]
[24/01/2018 | 16:04:38] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [ R  1] | [F001]       |  ::  | CFTXF001I New V2FS transfer file started: TransferFileID=[87872def-8e92-46c5-9efa-b89f8b555203] [Vault{DCAMainVault}\Safe{ddddddd}\Root\setup.exe] ===> [C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd\setup.exe] , (tid= 8632)
[24/01/2018 | 16:04:39] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [ R  1] | [F001]       |  ::  | Exec cmd line: "C:\Program Files (x86)\CyberArk\DCA\UserExits\scan.cmd" "C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd\setup.exe" "setup.exe"
[24/01/2018 | 16:04:40] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [ R  1] | [F001]       |  ::  | RC: (0) - Valid. File Name: setup.exe
[24/01/2018 | 16:04:53] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [ R  1] | [F001]       |  ::  | CFTUE015I Dll user exit [PreNonDuplication] in dll [UserExitDll1] finished successfully.
[24/01/2018 | 16:04:53] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [ R  1] | [F001]       |  ::  | CFTXF010I Transfer file completed successfully. (Transfer time: 0 hours, 0 minutes, 15 seconds, 282 milliseconds, File size (KB): 418.000, Retries number: 0)
[24/01/2018 | 16:04:56] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [*R  1] |              |  ::  | CFTXR010I Transfer rule completed successfully. ([Files succeeded: 1] [Files warned: 0])
[24/01/2018 | 16:05:01] |                                 |         |              |  ::  | CFTPR010I Process [ContentFiltering] completed successfully ([Rules succeeded: 1] [Rules warned: 0])
[24/01/2018 | 16:05:11] |                                 |         |              |  ::  | CFTPR001I New Automap process [ContentFiltering] has started. InstanceID [01fa9d70-0cfd-48b5-89b7-98b21feaaef8].
[24/01/2018 | 16:05:11] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [*R  1] |              |  ::  | CFTXR001I New V2FS transfer rule started: [Vault{DCAMainVault}\Safe{ddddddd}\Root\*] ===> [C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd\.]
[24/01/2018 | 16:05:11] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [*R  1] |              |  ::  | CFTXR051I Rule found no files to transfer.
[24/01/2018 | 16:05:11] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [*R  1] |              |  ::  | CFTXR010I Transfer rule completed successfully. ([Files succeeded: 0] [Files warned: 0])
[24/01/2018 | 16:05:16] |                                 |         |              |  ::  | CFTPR010I Process [ContentFiltering] completed successfully ([Rules succeeded: 1] [Rules warned: 0])
[24/01/2018 | 16:05:31] |                                 |         |              |  ::  | CFTPR001I New Automap process [ContentFiltering] has started. InstanceID [0d825900-4857-445d-9dc0-11acd640bc94].
[24/01/2018 | 16:05:31] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [*R  1] |              |  ::  | CFTXR001I New V2FS transfer rule started: [Vault{DCAMainVault}\Safe{ddddddd}\Root\*] ===> [C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd\.]
[24/01/2018 | 16:05:31] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [*R  1] |              |  ::  | CFTXR051I Rule found no files to transfer.
[24/01/2018 | 16:05:31] | [DCAMainVault\ddddddd\Root -> C:\Program Files (x86)\CyberArk\DCA\TempFilesDirectory\ddddddd]  | [*R  1] |              |  ::  | CFTXR010I Transfer rule completed successfully. ([Files succeeded: 0] [Files warned: 0])
[24/01/2018 | 16:05:36] |                                 |         |              |  ::  | CFTPR010I Process [ContentFiltering] completed successfully ([Rules succeeded: 1] [Rules warned: 0])
[24/01/2018 | 16:05:51] |                                 |         |              |  ::  | CFTPR001I New Automap process [ContentFiltering] has started. InstanceID [e9ccc454-befe-41c7-b317-f151d328f265].
